case_index,dataset,vsId,tgId,tcId,op,operation,return_code,software_cycles,hardware_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,starts,done,loads,reads,core_cycles,load_cycles,read_cycles,remaining_api_cycles,load_ratio,core_ratio,read_ratio,remaining_api_ratio,speedup,speedup_per_sample
35,2,42,1,5,2,encapsulation,0,5531265,5574336,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429298,0.022801101332965937,7.319257396755416e-05,0.0031445897771501395,0.9739811163159163,0.9922733398202046,0.9922733398202046
36,2,42,1,6,2,encapsulation,0,5529927,5572998,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5427960,0.02280657556309907,7.321014649565638e-05,0.0031453447498097074,0.9739748695405955,0.9922714847556019,0.9922714847556019
37,2,42,1,7,2,encapsulation,0,5530391,5573462,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428424,0.022804676877674953,7.320405162895163e-05,0.003145082894617385,0.9739770361760787,0.9922721281673761,0.9922721281673761
38,2,42,1,8,2,encapsulation,0,6156079,6199150,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,6054112,0.02050297218167007,6.58154747021769e-05,0.002827645725623674,0.9766035666180041,0.9930521119830945,0.9930521119830945
39,2,42,1,9,2,encapsulation,0,5531677,5574748,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429710,0.022799416224733388,7.318716469336371e-05,0.003144357377230325,0.973983039233343,0.9922739108565983,0.9922739108565983
40,2,42,1,10,2,encapsulation,0,5531511,5574582,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429544,0.02280009514614728,7.318934406203012e-05,0.0031444510099591324,0.9739822644998316,0.9922736807889811,0.9922736807889811
41,2,42,1,11,2,encapsulation,0,6156253,6199324,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,6054286,0.020502396712931924,6.581362742131239e-05,0.0028275663604612374,0.9766042232991855,0.9930523069934722,0.9930523069934722
42,2,42,1,12,2,encapsulation,0,5531899,5574970,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429932,0.022798508332780267,7.318425031883579e-05,0.0031442321662717466,0.9739840752506291,0.9922742185159741,0.9922742185159741
43,2,42,1,13,2,encapsulation,0,6155808,6198879,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,6053841,0.020503868522034386,6.581835199557856e-05,0.002827769343457099,0.976602543782513,0.9930518082382315,0.9930518082382315
44,2,42,1,14,2,encapsulation,0,5530834,5573905,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428867,0.02280286441911012,7.319823355439319e-05,0.0031448329313111725,0.9739791044160243,0.9922727423592616,0.9922727423592616
45,2,42,1,15,2,encapsulation,0,5530122,5573193,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428155,0.022805777585667677,7.320758495175028e-05,0.0031452346975961534,0.9739757801317844,0.9922717551679979,0.9922717551679979
46,2,42,1,16,2,encapsulation,0,5531209,5574280,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429242,0.02280133039603321,7.319330927043492e-05,0.0031446213681408184,0.9739808549265555,0.9922732621970909,0.9922732621970909
47,2,42,1,17,2,encapsulation,0,5529808,5572879,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5427841,0.022807062561379855,7.321170978232257e-05,0.003145411913662579,0.9739743138151753,0.9922713197254058,0.9922713197254058
48,2,42,1,18,2,encapsulation,0,5529379,5572450,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5427412,0.022808818383296396,7.321734605065994e-05,0.0031456540659853386,0.9739723102046676,0.9922707247261079,0.9922707247261079
49,2,42,1,19,2,encapsulation,0,5532015,5575086,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5430048,0.022798033967547766,7.318272758483008e-05,0.003144166744692369,0.973984616560175,0.9922743792651808,0.9922743792651808
50,2,42,1,20,2,encapsulation,0,5530636,5573707,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428669,0.02280367446656238,7.320083384361611e-05,0.003144944648148889,0.9739781800514451,0.9922724678566706,0.9922724678566706
51,2,42,1,21,2,encapsulation,0,5531336,5574407,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429369,0.022800810920336458,7.319164172978399e-05,0.0031445497251994694,0.9739814477127343,0.9922734382329815,0.9922734382329815
52,2,42,1,22,2,encapsulation,0,5531232,5574303,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429265,0.0228012363160022,7.319300726924963e-05,0.003144608393192835,0.9739809622835357,0.9922732940782013,0.9922732940782013
53,2,42,1,23,2,encapsulation,0,5531640,5574711,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429673,0.02279956754708899,7.318765044501858e-05,0.0031443782466929675,0.973982866555773,0.9922738595776535,0.9922738595776535
54,2,42,1,24,2,encapsulation,0,5531227,5574298,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429260,0.022801256768116812,7.319307292146921e-05,0.003144611213824593,0.9739809389451372,0.9922732871475476,0.9922732871475476
55,2,42,1,25,2,encapsulation,0,5531720,5574791,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429753,0.02279924036614108,7.31866001792713e-05,0.0031443331238785455,0.9739832399098011,0.9922739704501926,0.9922739704501926
56,2,42,4,77,3,decapsulation,0,6935627,6993055,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6799671,0.024233757635253834,7.779146596158617e-05,0.0033421730559819707,0.9723462778428026,0.9917878523763934,0.9917878523763934
57,2,42,4,78,3,decapsulation,0,6939151,6996579,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6803195,0.024221551704054226,7.775228436640249e-05,0.0033404896878888955,0.9723602063236905,0.991791988627585,0.991791988627585
58,2,42,4,79,3,decapsulation,0,6938000,6995428,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6802044,0.024225537022180773,7.776507741913718e-05,0.003341039318823666,0.9723556585815765,0.9917906381139224,0.9917906381139224
59,2,42,4,80,3,decapsulation,0,6936586,6994014,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6800630,0.024230434768932402,7.778079940932346e-05,0.0033417147863873307,0.9723500696452709,0.991788978403532,0.991788978403532
60,2,42,4,81,3,decapsulation,0,6937201,6994629,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801245,0.024228304317498468,7.777396056316925e-05,0.0033414209674308675,0.9723525007545075,0.9917897003543719,0.9917897003543719
61,2,42,4,82,3,decapsulation,0,6937471,6994899,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801515,0.024227369115694165,7.777095852277496e-05,0.0033412919900630447,0.97235356793572,0.991790017268298,0.991790017268298
62,2,42,4,83,3,decapsulation,0,6936498,6993926,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6800542,0.024230739644657377,7.778177807428903e-05,0.0033417568330005205,0.9723497217442678,0.9917888750896134,0.9917888750896134
63,2,42,4,84,3,decapsulation,0,6939396,6996824,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6803440,0.024220703564931747,7.774956180118293e-05,0.003340372717678764,0.9723611741555883,0.9917922760383854,0.9917922760383854
64,2,42,4,85,3,decapsulation,0,6937909,6995337,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801953,0.024225852164091594,7.776608903902699e-05,0.0033410827812870203,0.9723552989655824,0.9917905313210786,0.9917905313210786
65,2,42,7,107,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
66,2,42,7,109,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
67,2,42,7,110,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
68,2,42,7,111,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
69,2,42,7,112,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
70,2,42,7,113,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
71,2,42,7,114,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
72,2,42,7,115,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
73,2,42,8,118,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
74,2,42,8,119,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
75,2,42,8,120,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
76,2,42,8,121,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
77,2,42,8,122,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
78,2,42,8,123,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
79,2,42,8,124,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
80,2,42,8,125,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
81,3,42,1,1,2,encapsulation,0,5529867,5572938,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5427900,0.02280682110585117,7.321093469907614e-05,0.0031453786135786903,0.9739745893458711,0.9922714015479807,0.9922714015479807
82,3,42,1,2,2,encapsulation,0,6157711,6200782,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,6055744,0.02049757595090426,6.579815255559702e-05,0.002826901510164363,0.9766097243863758,0.9930539406158772,0.9930539406158772
83,3,42,1,3,2,encapsulation,0,5530434,5573505,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428467,0.022804500937919674,7.320348685432237e-05,0.0031450586300721,0.9739772369451539,0.9922721877884743,0.9922721877884743
84,3,42,1,4,2,encapsulation,0,5530377,5573448,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428410,0.02280473416097181,7.320423551094404e-05,0.003145090794782691,0.9739769708087346,0.9922721087556572,0.9922721087556572
85,3,42,1,5,2,encapsulation,0,5530480,5573551,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428513,0.022804312726303212,7.320288268645967e-05,0.003145032673066058,0.9739774517179443,0.9922722515681655,0.9922722515681655
86,3,42,1,6,2,encapsulation,0,5531774,5574845,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429807,0.022799019524309645,7.318589126693208e-05,0.003144302666710913,0.9739834919177125,0.9922740452873577,0.9922740452873577
87,3,42,1,7,2,encapsulation,0,5532240,5575311,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5430273,0.02279711391884686,7.317977418658798e-05,0.003144039857148776,0.9739856664498178,0.9922746910441409,0.9922746910441409
88,3,42,1,8,2,encapsulation,0,5530510,5573581,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428543,0.02280418998127057,7.320248866931332e-05,0.0031450157448146892,0.9739775917852455,0.992272293163049,0.992272293163049
89,3,42,1,9,2,encapsulation,0,5531332,5574403,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429365,0.02280082728141471,7.31916942495905e-05,0.003144551981620274,0.9739814290427155,0.9922734326886664,0.9922734326886664
90,3,42,1,10,2,encapsulation,0,5531404,5574475,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429437,0.022800532785598644,7.319074890460537e-05,0.003144511366541244,0.9739817650989555,0.992273532485122,0.992273532485122
91,3,42,1,11,2,encapsulation,0,5531233,5574304,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429266,0.022801232225583678,7.319299413881984e-05,0.003144607829067091,0.9739809669512104,0.9922732954643306,0.9922732954643306
92,3,42,1,12,2,encapsulation,0,5531587,5574658,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429620,0.022799784309638367,7.318834626267656e-05,0.003144408141270729,0.9739826192028282,0.9922737861228438,0.9922737861228438
93,3,42,1,13,2,encapsulation,0,5530520,5573591,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428553,0.02280414906655332,7.320235733120711e-05,0.0031450101021047294,0.9739776384740108,0.9922723070279107,0.9922723070279107
94,3,42,1,14,2,encapsulation,0,5531796,5574867,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429829,0.022798929552938215,7.31856024547312e-05,0.003144290258404371,0.9739835945862027,0.9922740757761576,0.9922740757761576
95,3,42,1,15,2,encapsulation,0,5532130,5575201,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5430163,0.022797563711155884,7.318121804038993e-05,0.0031441018897793997,0.9739851531810243,0.9922745386220156,0.9922745386220156
96,3,42,1,16,2,encapsulation,0,5530669,5573740,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428702,0.022803539454657018,7.320040044924952e-05,0.0031449260281247423,0.973978334116769,0.9922725136084568,0.9922725136084568
97,3,42,1,17,2,encapsulation,0,5531760,5574831,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429793,0.02279907677918846,7.31860750577013e-05,0.0031443105629569757,0.9739834265827969,0.992274025885269,0.992274025885269
98,3,42,1,18,2,encapsulation,0,5531252,5574323,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429285,0.022801154507910648,7.319274466154903e-05,0.0031445971107164046,0.9739810556367114,0.9922733218006922,0.9922733218006922
