Time resolution is 1 ps
MLKEM_HEADER,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
MLKEM_START cases=145 ram_bytes=131072 stack_bytes=32768 clock_mhz=100 mul=1 fast_mul=1 div=1 expect_m=1
MLKEM_ROW,123,3,42,7,114,3,0,11017496,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,124,3,42,7,115,3,0,11644158,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,125,3,42,12,156,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,126,3,42,12,157,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,127,3,42,12,158,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,128,3,42,12,159,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,129,3,42,12,160,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,130,3,42,12,161,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,131,3,42,12,162,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,132,3,42,12,163,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,133,3,42,12,164,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,134,3,42,12,165,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,135,3,42,13,166,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,136,3,42,13,167,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,137,3,42,13,168,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,138,3,42,13,169,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,139,3,42,13,170,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,140,3,42,13,171,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,141,3,42,13,172,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,142,3,42,13,173,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,143,3,42,13,174,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,144,3,42,13,175,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_PASS cases=145 input_bytes=215360 output_bytes=146560 cpu_mul=1 cpu_fast_mul=1 cpu_div=1 expect_m=1 cycles=1147835590 all_m=5043840 min_sp=0x0001b7f0 stack_used=18432
$finish called at time : 11478356215 ns : File "E:/pqc/mlkem-polymul-rv32i-fpga/tb/software/tb_mlkem_suite.sv" Line 309
INFO: xsimkernel Simulation Memory Usage: 30848 KB (Peak: 30848 KB), Simulation CPU Usage: 8349827 ms
