case_index,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,config,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes
41,41,2,42,2,36,2,0,9046331,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.46331,17296
42,42,2,42,2,37,2,0,9673362,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,96.73362,17296
43,43,2,42,2,38,2,0,9045508,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.45508,17296
44,44,2,42,2,39,2,0,9042398,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.42398,17296
45,45,2,42,2,40,2,0,9047729,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.47729,17296
46,46,2,42,2,41,2,0,9045038,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.45038,17296
47,47,2,42,2,42,2,0,9048114,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.48114,17296
48,48,2,42,2,43,2,0,9043663,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.43663,17296
49,49,2,42,2,44,2,0,9045771,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.45771,17296
50,50,2,42,2,45,2,0,9044046,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.44046,17296
51,51,2,42,2,46,2,0,10296301,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,102.96301,17296
52,52,2,42,2,47,2,0,9046274,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.46274,17296
53,53,2,42,2,48,2,0,9047926,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.47926,17296
54,54,2,42,2,49,2,0,9045069,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.45069,17296
55,55,2,42,2,50,2,0,9046835,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,90.46835,17296
56,56,2,42,5,87,3,0,11019552,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,110.19552,18432
57,57,2,42,5,88,3,0,11016867,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,110.16867,18432
58,58,2,42,5,89,3,0,11022082,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,110.22082,18432
59,59,2,42,5,90,3,0,11019093,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,110.19093,18432
60,60,2,42,5,91,3,0,11020891,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,110.20891,18432
61,61,2,42,5,92,3,0,11015828,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,110.15828,18432
62,62,2,42,5,93,3,0,11019980,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,110.1998,18432
63,63,2,42,5,94,3,0,11020529,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,110.20529,18432
64,64,2,42,5,95,3,0,11016947,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,110.16947,18432
