config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes,source_kind,source_chunk,source_local_index
rv32i,55,2,42,1,25,2,0,11745849,4,832,800,0,0,0,0,0,0,0,0,0,53408,55,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.45849,12112,resumed_batch,batch_049_056,6
rv32i,56,2,42,4,77,3,0,15699195,4,2400,32,0,0,0,0,0,0,0,0,0,52592,56,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,156.99195,12928,resumed_batch,batch_049_056,7
rv32i,57,2,42,4,78,3,0,15748693,4,2400,32,0,0,0,0,0,0,0,0,0,52592,57,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,157.48693,12928,resumed_batch,batch_057_064,0
rv32i,58,2,42,4,79,3,0,15780222,4,2400,32,0,0,0,0,0,0,0,0,0,52592,58,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,157.80222,12928,resumed_batch,batch_057_064,1
rv32i,59,2,42,4,80,3,0,15715904,4,2400,32,0,0,0,0,0,0,0,0,0,52592,59,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,157.15904,12928,resumed_batch,batch_057_064,2
rv32i,60,2,42,4,81,3,0,15790450,4,2400,32,0,0,0,0,0,0,0,0,0,52592,60,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,157.9045,12928,resumed_batch,batch_057_064,3
rv32i,61,2,42,4,82,3,0,15736972,4,2400,32,0,0,0,0,0,0,0,0,0,52592,61,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,157.36972,12928,resumed_batch,batch_057_064,4
rv32i,62,2,42,4,83,3,0,15733260,4,2400,32,0,0,0,0,0,0,0,0,0,52592,62,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,157.3326,12928,resumed_batch,batch_057_064,5
rv32i,63,2,42,4,84,3,0,15746575,4,2400,32,0,0,0,0,0,0,0,0,0,52592,63,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,157.46575,12928,resumed_batch,batch_057_064,6
rv32i,64,2,42,4,85,3,0,15731264,4,2400,32,0,0,0,0,0,0,0,0,0,52592,64,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,157.31264,12928,resumed_batch,batch_057_064,7
rv32i,65,2,42,7,107,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,64624,65,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41452,896,resumed_batch,batch_065_072,0
rv32i,66,2,42,7,109,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,64624,66,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41452,896,resumed_batch,batch_065_072,1
rv32i,67,2,42,7,110,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,64624,67,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41452,896,resumed_batch,batch_065_072,2
rv32i,68,2,42,7,111,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,64624,68,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41441,896,resumed_batch,batch_065_072,3
rv32i,69,2,42,7,112,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,64624,69,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41441,896,resumed_batch,batch_065_072,4
rv32i,70,2,42,7,113,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,64624,70,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41452,896,resumed_batch,batch_065_072,5
rv32i,71,2,42,7,114,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,64624,71,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41441,896,resumed_batch,batch_065_072,6
rv32i,72,2,42,7,115,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,64624,72,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,9.41441,896,resumed_batch,batch_065_072,7
rv32i,73,2,42,8,118,5,-4,154015,4,800,0,0,0,0,0,0,0,0,0,0,63504,73,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54015,2016,resumed_batch,batch_073_080,0
rv32i,74,2,42,8,119,5,-4,154015,4,800,0,0,0,0,0,0,0,0,0,0,63504,74,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54015,2016,resumed_batch,batch_073_080,1
rv32i,75,2,42,8,120,5,0,154004,4,800,0,0,0,0,0,0,0,0,0,0,63504,75,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54004,2016,resumed_batch,batch_073_080,2
rv32i,76,2,42,8,121,5,0,154004,4,800,0,0,0,0,0,0,0,0,0,0,63504,76,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54004,2016,resumed_batch,batch_073_080,3
