config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,source_local_index,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,observed_algorithm_stack_bytes,profile_accounted_cycles,profile_enters,profile_exits,profile_max_depth,source_chunk,baseline_raw_cycles,delta_cycles,overhead_percent,baseline_m_total,same_m,baseline_mul,baseline_mulh,baseline_mulhsu,baseline_mulhu,baseline_div,baseline_divu,baseline_rem,baseline_remu
rv32im_fast,44,2,42,1,14,2,0,5539150,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,4,44,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539150,119,119,5,batch_040_047,5530834,8316,0.15035707092275777,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,45,2,42,1,15,2,0,5538438,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,5,45,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538438,119,119,5,batch_040_047,5530122,8316,0.15037642930843118,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,46,2,42,1,16,2,0,5539525,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,6,46,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539525,119,119,5,batch_040_047,5531209,8316,0.15034687714747355,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,47,2,42,1,17,2,0,5538124,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,7,47,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538124,119,119,5,batch_040_047,5529808,8316,0.15038496815802646,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,48,2,42,1,18,2,0,5537695,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,0,48,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5537695,119,119,5,batch_048_055,5529379,8316,0.15039663586091676,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,49,2,42,1,19,2,0,5540331,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,1,49,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5540331,119,119,5,batch_048_055,5532015,8316,0.15032497200387201,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,50,2,42,1,20,2,0,5538952,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,2,50,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538952,119,119,5,batch_048_055,5530636,8316,0.1503624537937409,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,51,2,42,1,21,2,0,5539652,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,3,51,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539652,119,119,5,batch_048_055,5531336,8316,0.1503434251688923,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,52,2,42,1,22,2,0,5539548,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,4,52,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539548,119,119,5,batch_048_055,5531232,8316,0.1503462519742437,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,53,2,42,1,23,2,0,5539956,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,5,53,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539956,119,119,5,batch_048_055,5531640,8316,0.15033516280885958,30336,True,29824,0,0,512,0,0,0,0
