config,index,source_local_index,dataset,vsId,tgId,tcId,op,operation,return_code,phase,name,category,source,function,exclusive_cycles,inclusive_cycles,calls,exclusive_share_percent,source_chunk
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,34,poly_compress_d10,compression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_compress_d10,38984,38984,2,0.7038592916955473,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,35,poly_decompress_d4,decompression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_decompress_d4,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,36,poly_decompress_d10,decompression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_decompress_d10,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,37,poly_tobytes,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_tobytes,26168,26168,2,0.4724653689998225,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,38,poly_frombytes,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_frombytes,40080,40080,4,0.7236476608649071,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,39,poly_frommsg,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_frommsg,10268,10268,1,0.18538957539323517,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,40,poly_tomsg,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_tomsg,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,41,zeroize,zeroize,third_party/mlkem-native/mlkem/src/verify.h,mlk_zeroize,75429,75429,28,1.3618767318208351,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,42,memcpy,memory_copy,firmware/mlkem_baseline/runtime.c,memcpy,3864,3864,12,0.0697648343708084,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,0,unclassified,unclassified,,,307,307,0,0.004417954625159575,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,1,kem_keypair_derand,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_keypair_derand,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,2,kem_enc_derand,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_enc_derand,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,3,kem_dec,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_dec,11381,6948610,1,0.16378091722782126,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,4,kem_check_pk,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_check_pk,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,5,kem_check_sk,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_check_sk,528,942127,1,0.007598306326007348,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,6,indcpa_keypair_derand,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_keypair_derand,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,7,indcpa_enc,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_enc,3948,4308417,1,0.056814608664918574,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,8,indcpa_dec,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_dec,1759,575851,1,0.02531329702167978,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,9,gen_matrix,matrix_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_gen_matrix,1664,1993872,1,0.02394617751226558,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,10,rej_uniform,rejection_sampling,third_party/mlkem-native/mlkem/src/sampling.c,mlk_rej_uniform,94884,94884,4,1.3654501845395477,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,11,poly_getnoise_eta1_4x,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta1_4x,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,12,poly_getnoise_eta2,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta2,469,175187,1,0.006749253157002739,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,13,poly_getnoise_eta1122_4x,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta1122_4x,1489,1014813,1,0.02142779946860784,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,14,poly_cbd2,noise_cbd,third_party/mlkem-native/mlkem/src/sampling.c,mlk_poly_cbd2,43428,43428,3,0.6249606953141044,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,15,poly_cbd3,noise_cbd,third_party/mlkem-native/mlkem/src/sampling.c,mlk_poly_cbd3,31320,31320,2,0.4507177161563449,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,16,keccakf1600_permute,keccak_permutation,third_party/mlkem-native/mlkem/src/fips202/keccakf1600.c,mlk_keccakf1600_permute,4957985,4957985,32,71.34903179876807,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,17,shake128_absorb_once,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake128_absorb_once,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,18,shake128_squeezeblocks,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake128_squeezeblocks,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,19,shake256,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake256,26281,2047310,6,0.3782028192306801,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,20,sha3_256,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_sha3_256,10663,941326,1,0.15344837188298552,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,21,sha3_512,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_sha3_512,2512,158480,1,0.03614951797524708,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,22,shake128x4_absorb_once,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake128x4_absorb_once,6255,6255,1,0.09001402664616659,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,23,shake128x4_squeezeblocks,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake128x4_squeezeblocks,16207,1875412,1,0.23323058830606266,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,24,shake256x4,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake256x4,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,25,poly_ntt,ntt,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_ntt,409796,409796,4,5.8972642787358085,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,26,poly_invntt_tomont,intt,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_invntt_tomont,709524,709524,4,10.210569503132646,batch_000_007
